"Rank","Team","Record","Points","PV.Rank","Voter","Week"
1,"Alabama","1-0",1518,"1","ap","Week 2"
2,"Clemson","1-0",1416,"2","ap","Week 2"
3,"Florida State","1-0",1413,"4","ap","Week 2"
4,"Ohio State","1-0",1324,"6","ap","Week 2"
5,"Michigan","1-0",1261,"7","ap","Week 2"
6,"Houston","1-0",1243,"15","ap","Week 2"
7,"Stanford","1-0",1140,"8","ap","Week 2"
8,"Washington","1-0",884,"14","ap","Week 2"
9,"Georgia","1-0",877,"18","ap","Week 2"
10,"Wisconsin","1-0",759,"-","ap","Week 2"
11,"Texas","1-0",743,"-","ap","Week 2"
12,"Michigan State","1-0",722,"12","ap","Week 2"
13,"Louisville","1-0",686,"19","ap","Week 2"
14,"Oklahoma","0-1",664,"3","ap","Week 2"
15,"TCU","1-0",635,"13","ap","Week 2"
16,"Iowa","1-0",588,"17","ap","Week 2"
17,"Tennessee","1-0",573,"9","ap","Week 2"
18,"Notre Dame","0-1",528,"10","ap","Week 2"
19,"Mississippi","0-1",493,"11","ap","Week 2"
20,"Texas A&M","1-0",477,"-","ap","Week 2"
21,"LSU","0-1",423,"5","ap","Week 2"
22,"Oklahoma State","1-0",409,"21","ap","Week 2"
23,"Baylor","1-0",296,"23","ap","Week 2"
24,"Oregon","1-0",242,"24","ap","Week 2"
25,"Miami","1-0",137,"-","ap","Week 2"
1,"Alabama","1-0",1518,"1","adam-jude","Week 2"
2,"Florida State","1-0",1413,"4","adam-jude","Week 2"
3,"Houston","1-0",1243,"15","adam-jude","Week 2"
4,"Clemson","1-0",1416,"2","adam-jude","Week 2"
5,"Ohio State","1-0",1324,"6","adam-jude","Week 2"
6,"Michigan","1-0",1261,"7","adam-jude","Week 2"
7,"Stanford","1-0",1140,"8","adam-jude","Week 2"
8,"Wisconsin","1-0",759,"-","adam-jude","Week 2"
9,"Texas","1-0",743,"-","adam-jude","Week 2"
10,"TCU","1-0",635,"13","adam-jude","Week 2"
11,"Notre Dame","0-1",528,"10","adam-jude","Week 2"
